Node,Depth,Value,Alpha,Beta
E1,1,Infinity,19,Infinity
A1,2,-Infinity,19,Infinity
B1,3,Infinity,19,Infinity
A1,2,81,81,Infinity
A2,3,Infinity,81,Infinity
B1,4,27,81,Infinity
A2,3,27,81,Infinity
A1,2,81,81,Infinity
B2,3,Infinity,81,Infinity
B1,4,-5,81,Infinity
B2,3,-5,81,Infinity
A1,2,81,81,Infinity
A3,3,Infinity,81,Infinity
B1,4,35,81,Infinity
A3,3,35,81,Infinity
A1,2,81,81,Infinity
B3,3,Infinity,81,Infinity
B1,4,55,81,Infinity
B3,3,55,81,Infinity
A1,2,81,81,Infinity
C3,3,Infinity,81,Infinity
B1,4,38,81,Infinity
C3,3,38,81,Infinity
A1,2,81,81,Infinity
E3,3,Infinity,81,Infinity
B1,4,10,81,Infinity
E3,3,10,81,Infinity
A1,2,81,81,Infinity
A4,3,Infinity,81,Infinity
B1,4,27,81,Infinity
A4,3,27,81,Infinity
A1,2,81,81,Infinity
B4,3,Infinity,81,Infinity
B1,4,19,81,Infinity
B4,3,19,81,Infinity
A1,2,81,81,Infinity
E4,3,Infinity,81,Infinity
B1,4,9,81,Infinity
E4,3,9,81,Infinity
A1,2,81,81,Infinity
A5,3,Infinity,81,Infinity
B1,4,32,81,Infinity
A5,3,32,81,Infinity
A1,2,81,81,Infinity
B5,3,Infinity,81,Infinity
B1,4,37,81,Infinity
B5,3,37,81,Infinity
A1,2,81,81,Infinity
C5,3,Infinity,81,Infinity
B1,4,30,81,Infinity
C5,3,30,81,Infinity
A1,2,81,81,Infinity
D5,3,Infinity,81,Infinity
B1,4,28,81,Infinity
D5,3,28,81,Infinity
A1,2,81,81,Infinity
E5,3,Infinity,81,Infinity
B1,4,17,81,Infinity
E5,3,17,81,Infinity
A1,2,81,81,Infinity
E1,1,81,19,81
B1,2,-Infinity,19,81
A1,3,Infinity,19,81
B1,2,49,49,81
A2,3,Infinity,49,81
A1,4,-11,49,81
A2,3,-11,49,81
B1,2,49,49,81
B2,3,Infinity,49,81
A1,4,53,49,81
B2,3,53,49,53
B1,2,53,53,81
A3,3,Infinity,53,81
A1,4,37,53,81
A3,3,37,53,81
B1,2,53,53,81
B3,3,Infinity,53,81
A1,4,57,53,81
B3,3,57,53,57
B1,2,57,57,81
C3,3,Infinity,57,81
A1,4,40,57,81
C3,3,40,57,81
B1,2,57,57,81
E3,3,Infinity,57,81
A1,4,12,57,81
E3,3,12,57,81
B1,2,57,57,81
A4,3,Infinity,57,81
A1,4,29,57,81
A4,3,29,57,81
B1,2,57,57,81
B4,3,Infinity,57,81
A1,4,21,57,81
B4,3,21,57,81
B1,2,57,57,81
E4,3,Infinity,57,81
A1,4,11,57,81
E4,3,11,57,81
B1,2,57,57,81
A5,3,Infinity,57,81
A1,4,34,57,81
A5,3,34,57,81
B1,2,57,57,81
B5,3,Infinity,57,81
A1,4,39,57,81
B5,3,39,57,81
B1,2,57,57,81
C5,3,Infinity,57,81
A1,4,32,57,81
C5,3,32,57,81
B1,2,57,57,81
D5,3,Infinity,57,81
A1,4,30,57,81
D5,3,30,57,81
B1,2,57,57,81
E5,3,Infinity,57,81
A1,4,19,57,81
E5,3,19,57,81
B1,2,57,57,81
E1,1,77,19,77
root,0,29,29,Infinity
A2,1,Infinity,29,Infinity
A1,2,-Infinity,29,Infinity
B1,3,Infinity,29,Infinity
E1,4,41,29,Infinity
B1,3,41,29,41
A1,2,41,41,Infinity
E1,3,Infinity,41,Infinity
B1,4,27,41,Infinity
E1,3,27,41,Infinity
A1,2,41,41,Infinity
B2,3,Infinity,41,Infinity
B1,4,-15,41,Infinity
B2,3,-15,41,Infinity
A1,2,41,41,Infinity
A3,3,Infinity,41,Infinity
B1,4,25,41,Infinity
A3,3,25,41,Infinity
A1,2,41,41,Infinity
B3,3,Infinity,41,Infinity
B1,4,45,41,Infinity
B3,3,45,41,45
E1,4,33,41,45
B3,3,33,41,45
A1,2,41,41,Infinity
C3,3,Infinity,41,Infinity
B1,4,28,41,Infinity
C3,3,28,41,Infinity
A1,2,41,41,Infinity
E3,3,Infinity,41,Infinity
B1,4,0,41,Infinity
E3,3,0,41,Infinity
A1,2,41,41,Infinity
A4,3,Infinity,41,Infinity
B1,4,17,41,Infinity
A4,3,17,41,Infinity
A1,2,41,41,Infinity
B4,3,Infinity,41,Infinity
B1,4,9,41,Infinity
B4,3,9,41,Infinity
A1,2,41,41,Infinity
E4,3,Infinity,41,Infinity
B1,4,-1,41,Infinity
E4,3,-1,41,Infinity
A1,2,41,41,Infinity
A5,3,Infinity,41,Infinity
B1,4,22,41,Infinity
A5,3,22,41,Infinity
A1,2,41,41,Infinity
B5,3,Infinity,41,Infinity
B1,4,27,41,Infinity
B5,3,27,41,Infinity
A1,2,41,41,Infinity
C5,3,Infinity,41,Infinity
B1,4,20,41,Infinity
C5,3,20,41,Infinity
A1,2,41,41,Infinity
D5,3,Infinity,41,Infinity
B1,4,18,41,Infinity
D5,3,18,41,Infinity
A1,2,41,41,Infinity
E5,3,Infinity,41,Infinity
B1,4,7,41,Infinity
E5,3,7,41,Infinity
A1,2,41,41,Infinity
A2,1,71,29,71
B1,2,-Infinity,29,71
A1,3,Infinity,29,71
E1,4,41,29,71
A1,3,41,29,41
B1,2,41,41,71
E1,3,Infinity,41,71
A1,4,-11,41,71
E1,3,-11,41,71
B1,2,41,41,71
B2,3,Infinity,41,71
A1,4,43,41,71
B2,3,43,41,43
E1,4,33,41,43
B2,3,33,41,43
B1,2,41,41,71
A3,3,Infinity,41,71
A1,4,-13,41,71
A3,3,-13,41,71
B1,2,41,41,71
B3,3,Infinity,41,71
A1,4,7,41,71
B3,3,7,41,71
B1,2,41,41,71
C3,3,Infinity,41,71
A1,4,-10,41,71
C3,3,-10,41,71
B1,2,41,41,71
E3,3,Infinity,41,71
A1,4,-38,41,71
E3,3,-38,41,71
B1,2,41,41,71
A4,3,Infinity,41,71
A1,4,-21,41,71
A4,3,-21,41,71
B1,2,41,41,71
B4,3,Infinity,41,71
A1,4,-29,41,71
B4,3,-29,41,71
B1,2,41,41,71
E4,3,Infinity,41,71
A1,4,-39,41,71
E4,3,-39,41,71
B1,2,41,41,71
A5,3,Infinity,41,71
A1,4,-16,41,71
A5,3,-16,41,71
B1,2,41,41,71
B5,3,Infinity,41,71
A1,4,-11,41,71
B5,3,-11,41,71
B1,2,41,41,71
C5,3,Infinity,41,71
A1,4,-18,41,71
C5,3,-18,41,71
B1,2,41,41,71
D5,3,Infinity,41,71
A1,4,-20,41,71
D5,3,-20,41,71
B1,2,41,41,71
E5,3,Infinity,41,71
A1,4,-31,41,71
E5,3,-31,41,71
B1,2,41,41,71
A2,1,71,29,71
E1,2,-Infinity,29,71
A1,3,Infinity,29,71
B1,4,9,29,71
A1,3,9,29,71
E1,2,9,29,71
B1,3,Infinity,29,71
A1,4,1,29,71
B1,3,1,29,71
E1,2,9,29,71
B2,3,Infinity,29,71
A1,4,-3,29,71
B2,3,-3,29,71
E1,2,9,29,71
A3,3,Infinity,29,71
A1,4,13,29,71
A3,3,13,29,71
E1,2,13,29,71
B3,3,Infinity,29,71
A1,4,33,29,71
B3,3,33,29,33
B1,4,37,29,33
B3,3,33,29,33
E1,2,33,33,71
C3,3,Infinity,33,71
A1,4,16,33,71
C3,3,16,33,71
E1,2,33,33,71
E3,3,Infinity,33,71
A1,4,-12,33,71
E3,3,-12,33,71
E1,2,33,33,71
A4,3,Infinity,33,71
A1,4,5,33,71
A4,3,5,33,71
E1,2,33,33,71
B4,3,Infinity,33,71
A1,4,-3,33,71
B4,3,-3,33,71
E1,2,33,33,71
E4,3,Infinity,33,71
A1,4,-13,33,71
E4,3,-13,33,71
E1,2,33,33,71
A5,3,Infinity,33,71
A1,4,10,33,71
A5,3,10,33,71
E1,2,33,33,71
B5,3,Infinity,33,71
A1,4,15,33,71
B5,3,15,33,71
E1,2,33,33,71
C5,3,Infinity,33,71
A1,4,8,33,71
C5,3,8,33,71
E1,2,33,33,71
D5,3,Infinity,33,71
A1,4,6,33,71
D5,3,6,33,71
E1,2,33,33,71
E5,3,Infinity,33,71
A1,4,-5,33,71
E5,3,-5,33,71
E1,2,33,33,71
A2,1,53,29,53
root,0,29,29,Infinity
B2,1,Infinity,29,Infinity
A1,2,-Infinity,29,Infinity
B1,3,Infinity,29,Infinity
E1,4,33,29,Infinity
B1,3,33,29,33
A1,2,33,33,Infinity
E1,3,Infinity,33,Infinity
B1,4,-5,33,Infinity
E1,3,-5,33,Infinity
A1,2,33,33,Infinity
A2,3,Infinity,33,Infinity
B1,4,51,33,Infinity
A2,3,51,33,51
E1,4,37,33,51
A2,3,37,33,37
A1,2,37,37,Infinity
A3,3,Infinity,37,Infinity
B1,4,-7,37,Infinity
A3,3,-7,37,Infinity
A1,2,37,37,Infinity
B3,3,Infinity,37,Infinity
B1,4,13,37,Infinity
B3,3,13,37,Infinity
A1,2,37,37,Infinity
C3,3,Infinity,37,Infinity
B1,4,-4,37,Infinity
C3,3,-4,37,Infinity
A1,2,37,37,Infinity
E3,3,Infinity,37,Infinity
B1,4,-32,37,Infinity
E3,3,-32,37,Infinity
A1,2,37,37,Infinity
A4,3,Infinity,37,Infinity
B1,4,-15,37,Infinity
A4,3,-15,37,Infinity
A1,2,37,37,Infinity
B4,3,Infinity,37,Infinity
B1,4,-23,37,Infinity
B4,3,-23,37,Infinity
A1,2,37,37,Infinity
E4,3,Infinity,37,Infinity
B1,4,-33,37,Infinity
E4,3,-33,37,Infinity
A1,2,37,37,Infinity
A5,3,Infinity,37,Infinity
B1,4,-10,37,Infinity
A5,3,-10,37,Infinity
A1,2,37,37,Infinity
B5,3,Infinity,37,Infinity
B1,4,-5,37,Infinity
B5,3,-5,37,Infinity
A1,2,37,37,Infinity
C5,3,Infinity,37,Infinity
B1,4,-12,37,Infinity
C5,3,-12,37,Infinity
A1,2,37,37,Infinity
D5,3,Infinity,37,Infinity
B1,4,-14,37,Infinity
D5,3,-14,37,Infinity
A1,2,37,37,Infinity
E5,3,Infinity,37,Infinity
B1,4,-25,37,Infinity
E5,3,-25,37,Infinity
A1,2,37,37,Infinity
B2,1,67,29,67
B1,2,-Infinity,29,67
A1,3,Infinity,29,67
E1,4,1,29,67
A1,3,1,29,67
B1,2,1,29,67
E1,3,Infinity,29,67
A1,4,21,29,67
E1,3,21,29,67
B1,2,21,29,67
A2,3,Infinity,29,67
A1,4,-29,29,67
A2,3,-29,29,67
B1,2,21,29,67
A3,3,Infinity,29,67
A1,4,19,29,67
A3,3,19,29,67
B1,2,21,29,67
B3,3,Infinity,29,67
A1,4,39,29,67
B3,3,39,29,39
E1,4,29,29,39
B3,3,29,29,39
B1,2,29,29,67
C3,3,Infinity,29,67
A1,4,22,29,67
C3,3,22,29,67
B1,2,29,29,67
E3,3,Infinity,29,67
A1,4,-6,29,67
E3,3,-6,29,67
B1,2,29,29,67
A4,3,Infinity,29,67
A1,4,11,29,67
A4,3,11,29,67
B1,2,29,29,67
B4,3,Infinity,29,67
A1,4,3,29,67
B4,3,3,29,67
B1,2,29,29,67
E4,3,Infinity,29,67
A1,4,-7,29,67
E4,3,-7,29,67
B1,2,29,29,67
A5,3,Infinity,29,67
A1,4,16,29,67
A5,3,16,29,67
B1,2,29,29,67
B5,3,Infinity,29,67
A1,4,21,29,67
B5,3,21,29,67
B1,2,29,29,67
C5,3,Infinity,29,67
A1,4,14,29,67
C5,3,14,29,67
B1,2,29,29,67
D5,3,Infinity,29,67
A1,4,12,29,67
D5,3,12,29,67
B1,2,29,29,67
E5,3,Infinity,29,67
A1,4,1,29,67
E5,3,1,29,67
B1,2,29,29,67
B2,1,59,29,59
E1,2,-Infinity,29,59
A1,3,Infinity,29,59
B1,4,1,29,59
A1,3,1,29,59
E1,2,1,29,59
B1,3,Infinity,29,59
A1,4,-7,29,59
B1,3,-7,29,59
E1,2,1,29,59
A2,3,Infinity,29,59
A1,4,-3,29,59
A2,3,-3,29,59
E1,2,1,29,59
A3,3,Infinity,29,59
A1,4,5,29,59
A3,3,5,29,59
E1,2,5,29,59
B3,3,Infinity,29,59
A1,4,25,29,59
B3,3,25,29,59
E1,2,25,29,59
C3,3,Infinity,29,59
A1,4,8,29,59
C3,3,8,29,59
E1,2,25,29,59
E3,3,Infinity,29,59
A1,4,-20,29,59
E3,3,-20,29,59
E1,2,25,29,59
A4,3,Infinity,29,59
A1,4,-3,29,59
A4,3,-3,29,59
E1,2,25,29,59
B4,3,Infinity,29,59
A1,4,-11,29,59
B4,3,-11,29,59
E1,2,25,29,59
E4,3,Infinity,29,59
A1,4,-21,29,59
E4,3,-21,29,59
E1,2,25,29,59
A5,3,Infinity,29,59
A1,4,2,29,59
A5,3,2,29,59
E1,2,25,29,59
B5,3,Infinity,29,59
A1,4,7,29,59
B5,3,7,29,59
E1,2,25,29,59
C5,3,Infinity,29,59
A1,4,0,29,59
C5,3,0,29,59
E1,2,25,29,59
D5,3,Infinity,29,59
A1,4,-2,29,59
D5,3,-2,29,59
E1,2,25,29,59
E5,3,Infinity,29,59
A1,4,-13,29,59
E5,3,-13,29,59
E1,2,25,29,59
B2,1,45,29,45
root,0,29,29,Infinity
A3,1,Infinity,29,Infinity
A1,2,-Infinity,29,Infinity
B1,3,Infinity,29,Infinity
E1,4,49,29,Infinity
B1,3,49,29,49
A1,2,49,49,Infinity
E1,3,Infinity,49,Infinity
B1,4,35,49,Infinity
E1,3,35,49,Infinity
A1,2,49,49,Infinity
A2,3,Infinity,49,Infinity
B1,4,67,49,Infinity
A2,3,67,49,67
E1,4,53,49,67
A2,3,53,49,53
A1,2,53,53,Infinity
B2,3,Infinity,53,Infinity
B1,4,-7,53,Infinity
B2,3,-7,53,Infinity
A1,2,53,53,Infinity
B3,3,Infinity,53,Infinity
B1,4,53,53,Infinity
B3,3,53,53,Infinity
A1,2,53,53,Infinity
C3,3,Infinity,53,Infinity
B1,4,36,53,Infinity
C3,3,36,53,Infinity
A1,2,53,53,Infinity
E3,3,Infinity,53,Infinity
B1,4,8,53,Infinity
E3,3,8,53,Infinity
A1,2,53,53,Infinity
A4,3,Infinity,53,Infinity
B1,4,25,53,Infinity
A4,3,25,53,Infinity
A1,2,53,53,Infinity
B4,3,Infinity,53,Infinity
B1,4,17,53,Infinity
B4,3,17,53,Infinity
A1,2,53,53,Infinity
E4,3,Infinity,53,Infinity
B1,4,7,53,Infinity
E4,3,7,53,Infinity
A1,2,53,53,Infinity
A5,3,Infinity,53,Infinity
B1,4,30,53,Infinity
A5,3,30,53,Infinity
A1,2,53,53,Infinity
B5,3,Infinity,53,Infinity
B1,4,35,53,Infinity
B5,3,35,53,Infinity
A1,2,53,53,Infinity
C5,3,Infinity,53,Infinity
B1,4,28,53,Infinity
C5,3,28,53,Infinity
A1,2,53,53,Infinity
D5,3,Infinity,53,Infinity
B1,4,26,53,Infinity
D5,3,26,53,Infinity
A1,2,53,53,Infinity
E5,3,Infinity,53,Infinity
B1,4,15,53,Infinity
E5,3,15,53,Infinity
A1,2,53,53,Infinity
A3,1,83,29,83
B1,2,-Infinity,29,83
A1,3,Infinity,29,83
E1,4,17,29,83
A1,3,17,29,83
B1,2,17,29,83
E1,3,Infinity,29,83
A1,4,37,29,83
E1,3,37,29,37
B1,2,37,37,83
A2,3,Infinity,37,83
A1,4,-13,37,83
A2,3,-13,37,83
B1,2,37,37,83
B2,3,Infinity,37,83
A1,4,51,37,83
B2,3,51,37,51
E1,4,41,37,51
B2,3,41,37,41
B1,2,41,41,83
B3,3,Infinity,41,83
A1,4,55,41,83
B3,3,55,41,55
E1,4,45,41,55
B3,3,45,41,45
B1,2,45,45,83
C3,3,Infinity,45,83
A1,4,38,45,83
C3,3,38,45,83
B1,2,45,45,83
E3,3,Infinity,45,83
A1,4,10,45,83
E3,3,10,45,83
B1,2,45,45,83
A4,3,Infinity,45,83
A1,4,27,45,83
A4,3,27,45,83
B1,2,45,45,83
B4,3,Infinity,45,83
A1,4,19,45,83
B4,3,19,45,83
B1,2,45,45,83
E4,3,Infinity,45,83
A1,4,9,45,83
E4,3,9,45,83
B1,2,45,45,83
A5,3,Infinity,45,83
A1,4,32,45,83
A5,3,32,45,83
B1,2,45,45,83
B5,3,Infinity,45,83
A1,4,37,45,83
B5,3,37,45,83
B1,2,45,45,83
C5,3,Infinity,45,83
A1,4,30,45,83
C5,3,30,45,83
B1,2,45,45,83
D5,3,Infinity,45,83
A1,4,28,45,83
D5,3,28,45,83
B1,2,45,45,83
E5,3,Infinity,45,83
A1,4,17,45,83
E5,3,17,45,83
B1,2,45,45,83
A3,1,75,29,75
E1,2,-Infinity,29,75
A1,3,Infinity,29,75
B1,4,17,29,75
A1,3,17,29,75
E1,2,17,29,75
B1,3,Infinity,29,75
A1,4,9,29,75
B1,3,9,29,75
E1,2,17,29,75
A2,3,Infinity,29,75
A1,4,13,29,75
A2,3,13,29,75
E1,2,17,29,75
B2,3,Infinity,29,75
A1,4,5,29,75
B2,3,5,29,75
E1,2,17,29,75
B3,3,Infinity,29,75
A1,4,41,29,75
B3,3,41,29,41
B1,4,45,29,41
B3,3,41,29,41
E1,2,41,41,75
C3,3,Infinity,41,75
A1,4,24,41,75
C3,3,24,41,75
E1,2,41,41,75
E3,3,Infinity,41,75
A1,4,-4,41,75
E3,3,-4,41,75
E1,2,41,41,75
A4,3,Infinity,41,75
A1,4,13,41,75
A4,3,13,41,75
E1,2,41,41,75
B4,3,Infinity,41,75
A1,4,5,41,75
B4,3,5,41,75
E1,2,41,41,75
E4,3,Infinity,41,75
A1,4,-5,41,75
E4,3,-5,41,75
E1,2,41,41,75
A5,3,Infinity,41,75
A1,4,18,41,75
A5,3,18,41,75
E1,2,41,41,75
B5,3,Infinity,41,75
A1,4,23,41,75
B5,3,23,41,75
E1,2,41,41,75
C5,3,Infinity,41,75
A1,4,16,41,75
C5,3,16,41,75
E1,2,41,41,75
D5,3,Infinity,41,75
A1,4,14,41,75
D5,3,14,41,75
E1,2,41,41,75
E5,3,Infinity,41,75
A1,4,3,41,75
E5,3,3,41,75
E1,2,41,41,75
A3,1,61,29,61
root,0,29,29,Infinity
B3,1,Infinity,29,Infinity
A1,2,-Infinity,29,Infinity
B1,3,Infinity,29,Infinity
E1,4,69,29,Infinity
B1,3,69,29,69
A1,2,69,69,Infinity
E1,3,Infinity,69,Infinity
B1,4,55,69,Infinity
E1,3,55,69,Infinity
A1,2,69,69,Infinity
A2,3,Infinity,69,Infinity
B1,4,45,69,Infinity
A2,3,45,69,Infinity
A1,2,69,69,Infinity
B2,3,Infinity,69,Infinity
B1,4,13,69,Infinity
B2,3,13,69,Infinity
A1,2,69,69,Infinity
A3,3,Infinity,69,Infinity
B1,4,53,69,Infinity
A3,3,53,69,Infinity
A1,2,69,69,Infinity
C3,3,Infinity,69,Infinity
B1,4,56,69,Infinity
C3,3,56,69,Infinity
A1,2,69,69,Infinity
E3,3,Infinity,69,Infinity
B1,4,28,69,Infinity
E3,3,28,69,Infinity
A1,2,69,69,Infinity
A4,3,Infinity,69,Infinity
B1,4,45,69,Infinity
A4,3,45,69,Infinity
A1,2,69,69,Infinity
B4,3,Infinity,69,Infinity
B1,4,57,69,Infinity
B4,3,57,69,Infinity
A1,2,69,69,Infinity
E4,3,Infinity,69,Infinity
B1,4,27,69,Infinity
E4,3,27,69,Infinity
A1,2,69,69,Infinity
A5,3,Infinity,69,Infinity
B1,4,50,69,Infinity
A5,3,50,69,Infinity
A1,2,69,69,Infinity
B5,3,Infinity,69,Infinity
B1,4,55,69,Infinity
B5,3,55,69,Infinity
A1,2,69,69,Infinity
C5,3,Infinity,69,Infinity
B1,4,48,69,Infinity
C5,3,48,69,Infinity
A1,2,69,69,Infinity
D5,3,Infinity,69,Infinity
B1,4,46,69,Infinity
D5,3,46,69,Infinity
A1,2,69,69,Infinity
E5,3,Infinity,69,Infinity
B1,4,35,69,Infinity
E5,3,35,69,Infinity
A1,2,69,69,Infinity
B3,1,99,29,99
B1,2,-Infinity,29,99
A1,3,Infinity,29,99
E1,4,37,29,99
A1,3,37,29,37
B1,2,37,37,99
E1,3,Infinity,37,99
A1,4,57,37,99
E1,3,57,37,57
B1,2,57,57,99
A2,3,Infinity,57,99
A1,4,7,57,99
A2,3,7,57,99
B1,2,57,57,99
B2,3,Infinity,57,99
A1,4,71,57,99
B2,3,71,57,71
E1,4,61,57,71
B2,3,61,57,61
B1,2,61,61,99
A3,3,Infinity,61,99
A1,4,55,61,99
A3,3,55,61,99
B1,2,61,61,99
C3,3,Infinity,61,99
A1,4,58,61,99
C3,3,58,61,99
B1,2,61,61,99
E3,3,Infinity,61,99
A1,4,30,61,99
E3,3,30,61,99
B1,2,61,61,99
A4,3,Infinity,61,99
A1,4,47,61,99
A4,3,47,61,99
B1,2,61,61,99
B4,3,Infinity,61,99
A1,4,59,61,99
B4,3,59,61,99
B1,2,61,61,99
E4,3,Infinity,61,99
A1,4,29,61,99
E4,3,29,61,99
B1,2,61,61,99
A5,3,Infinity,61,99
A1,4,52,61,99
A5,3,52,61,99
B1,2,61,61,99
B5,3,Infinity,61,99
A1,4,57,61,99
